iter	MAPE	RMSE	R2	MAE
0	0.0568287008	0.9655934674	0.1604158165	0.7771618493
1	0.05186246297	0.8877917529	0.290262384	0.7089834586
2	0.04748435738	0.8169158955	0.3990611191	0.6488589386
3	0.04345075903	0.7534125083	0.4888583589	0.593425066
4	0.03986606834	0.6967438505	0.5628586399	0.544114135
5	0.03661488567	0.6456012118	0.6246777731	0.4995595676
6	0.03371029887	0.6006095417	0.675167058	0.4597748923
7	0.03114248517	0.5598159257	0.7177940872	0.4245983057
8	0.02888740633	0.5251847416	0.7516296151	0.3935271751
9	0.02689535393	0.4933163871	0.780857458	0.3662736372
10	0.02514219705	0.464016553	0.806115738	0.3422198248
11	0.02359011186	0.4388291742	0.8265930116	0.3210256805
12	0.0222212039	0.4162960352	0.8439441117	0.3022439712
13	0.02103738288	0.3965636224	0.8583875761	0.2858728348
14	0.01998722191	0.3788027985	0.8707882619	0.2715720897
15	0.01901246654	0.3624742877	0.8816876663	0.2581928911
16	0.01814819796	0.3475070638	0.8912566058	0.2464177775
17	0.01736006316	0.3338449274	0.8996389551	0.2355704755
18	0.01671017228	0.3226467921	0.9062588421	0.2266185748
19	0.01613643387	0.3123637599	0.9121388478	0.2188097932
20	0.01564767962	0.3031003705	0.9172727581	0.2121995527
21	0.01520628757	0.294934317	0.9216703428	0.2061340174
22	0.01484600005	0.2880450253	0.9252869667	0.2012322232
23	0.01449368178	0.2813087834	0.9287405944	0.1963949027
24	0.01418779026	0.2755575638	0.9316245365	0.1922671083
25	0.01391465459	0.2702661408	0.9342252977	0.1886151426
26	0.0136779203	0.2655638333	0.9364941887	0.1854120726
27	0.01345108948	0.2615017189	0.9384221237	0.1822646613
28	0.01325514731	0.2579121446	0.9401010518	0.1795395579
29	0.0130994847	0.2547867144	0.9415439902	0.1773699997
30	0.01295939731	0.251965221	0.9428314986	0.1754466336
31	0.01282295777	0.2490356515	0.9441531529	0.1736421593
32	0.01272125898	0.2465432741	0.9452654025	0.1723160849
33	0.01262870597	0.2443715823	0.9462254218	0.1710981082
34	0.01251456787	0.2421224988	0.9472106997	0.1695544354
35	0.01242851485	0.2402665423	0.9480168961	0.1683259168
36	0.0123335334	0.2383136897	0.9488584847	0.1670064133
37	0.0122760752	0.2368365997	0.9494904796	0.1662380625
38	0.01221178863	0.2352056198	0.9501837538	0.1654241638
39	0.01213932937	0.2338815564	0.950743045	0.1643796249
40	0.01207892851	0.2325303357	0.9513105523	0.1636048613
41	0.01200309246	0.2311777273	0.9518753493	0.1625095673
42	0.01194859449	0.2300719495	0.9523346314	0.1617945608
43	0.01188140187	0.2290413159	0.9527607199	0.160823883
44	0.01183882471	0.2280682742	0.9531612428	0.1602955153
45	0.01179148849	0.2271789849	0.9535258003	0.1596465668
46	0.01174848606	0.2262634824	0.9538996158	0.1590798914
47	0.0117051396	0.2253251307	0.9542811946	0.1585113083
48	0.01164120329	0.224373295	0.9546666365	0.1575907338
49	0.01161052875	0.2237984638	0.9548986218	0.1571809774
50	0.01157962798	0.2232275303	0.955128445	0.156781978
51	0.01154661386	0.222412009	0.9554557063	0.1563929228
52	0.01152457864	0.2220127602	0.9556154845	0.156106827
53	0.01149216012	0.221420035	0.9558521619	0.1556492467
54	0.01147035285	0.2209260065	0.9560489459	0.1553425859
55	0.0114326738	0.2203348692	0.9562838332	0.1548403664
56	0.0114225555	0.2199918906	0.9564198265	0.1546996277
57	0.01138002228	0.2192337689	0.9567196753	0.1540742505
58	0.01133401278	0.21850332	0.9570075999	0.153453943
59	0.01126775852	0.2176366835	0.9573479599	0.1524993227
60	0.01120757764	0.2166949422	0.9577162827	0.1516467743
61	0.01115663766	0.2159532242	0.9580052504	0.1509131281
62	0.01110670987	0.2152326873	0.9582850174	0.150207735
63	0.01108278852	0.2147349219	0.9584777415	0.149912393
64	0.01102996235	0.213996332	0.9587628854	0.1491943837
65	0.01097781198	0.2133536177	0.9590102157	0.1484432102
66	0.01096571921	0.2131507546	0.9590881273	0.1482775078
67	0.01093117922	0.2126341572	0.959286197	0.1478060314
68	0.01090046058	0.2119817886	0.9595356363	0.1474159444
69	0.01086551484	0.2113841317	0.9597634834	0.1469053358
70	0.01083497814	0.2109167997	0.959941198	0.1464935961
71	0.01080705215	0.2104375337	0.9601230423	0.1460946233
72	0.01077066534	0.2098614166	0.9603410866	0.1456064641
73	0.01073846427	0.2093937945	0.960517629	0.1451923105
74	0.01071027115	0.2089489063	0.9606852231	0.1448057019
75	0.01067929051	0.2084463024	0.9608741305	0.1443747528
76	0.01065166345	0.2078923316	0.9610818175	0.1440036922
77	0.0106307753	0.2073932911	0.9612684375	0.1437453337
78	0.01061844686	0.2071279569	0.9613674786	0.1435734902
79	0.01059206409	0.2067557268	0.9615062071	0.1431923545
80	0.01056120693	0.2063623787	0.9616525349	0.1427816551
81	0.01052275217	0.20572282	0.9618898596	0.1422599238
82	0.01050537765	0.2052906565	0.962049808	0.1420252826
83	0.01049252111	0.2049533308	0.9621744221	0.1418504144
84	0.01046732483	0.2045719579	0.9623150612	0.1414771947
85	0.01045014859	0.2042727026	0.9624252344	0.1412543435
86	0.01041137453	0.203735936	0.9626224451	0.1407168149
87	0.01037933527	0.2033207657	0.9627746248	0.1402713106
88	0.01035407123	0.2028734574	0.9629382372	0.1399330351
89	0.01033704158	0.2026677445	0.9630133601	0.1397018228
90	0.01029646133	0.2020273404	0.9632467369	0.1391406483
91	0.01026196407	0.2013766499	0.9634831057	0.1386661344
92	0.01024014163	0.2009418741	0.9636406168	0.1383844152
93	0.01020557069	0.200394513	0.9638384312	0.1379088989
