iter	Passed	Remaining
400	30390	121181
401	30458	121076
402	30543	121035
403	30624	120980
404	30704	120923
405	30778	120841
406	30846	120731
407	30922	120656
408	30992	120559
409	31070	120494
410	31168	120504
411	31249	120446
412	31324	120368
413	31414	120345
414	31491	120275
415	31571	120212
416	31658	120181
417	31719	120049
418	31802	119998
419	31879	119928
420	31956	119856
421	32028	119764
422	32102	119682
423	32188	119644
424	32270	119590
425	32338	119486
426	32419	119428
427	32490	119335
428	32569	119270
429	32637	119163
430	32709	119075
431	32793	119027
432	32869	118950
433	32949	118891
434	33028	118827
435	33087	118690
436	33161	118608
437	33251	118581
438	33330	118515
439	33395	118400
440	33479	118356
441	33555	118280
442	33631	118205
443	33711	118143
444	33796	118097
445	33881	118054
446	33954	117966
447	34025	117872
448	34110	117828
449	34180	117734
450	34265	117686
451	34343	117620
452	34435	117597
453	34514	117531
454	34600	117490
455	34681	117431
456	34750	117329
457	34815	117216
458	34890	117138
459	34934	116953
460	35013	116887
461	35078	116775
462	35162	116726
463	35231	116628
464	35315	116580
465	35393	116509
466	35474	116449
467	35542	116347
468	35614	116260
469	35687	116173
470	35772	116127
471	35856	116076
472	35948	116053
473	36024	115978
474	36100	115903
475	36181	115841
476	36260	115774
477	36344	115724
478	36426	115666
479	36490	115554
480	36543	115405
481	36633	115373
482	36687	115227
483	36757	115133
484	36839	115075
485	36922	115022
486	37009	114979
487	37060	114825
488	37139	114759
489	37211	114670
490	37286	114592
491	37374	114554
492	37455	114493
493	37549	114473
494	37632	114417
495	37718	114370
496	37801	114318
497	37882	114256
498	37964	114198
499	38049	114147
500	38132	114093
501	38223	114062
502	38309	114015
503	38394	113963
504	38476	113904
505	38550	113824
506	38629	113754
507	38704	113676
508	38788	113620
509	38880	113593
510	38969	113551
511	39039	113459
512	39129	113421
513	39211	113361
514	39292	113298
515	39382	113263
516	39472	113225
517	39563	113190
518	39651	113146
519	39724	113062
520	39796	112974
521	39890	112946
522	39995	112950
523	40081	112901
524	40164	112842
525	40248	112788
526	40337	112744
527	40404	112644
528	40486	112582
529	40571	112528
530	40659	112483
531	40738	112412
532	40803	112304
533	40904	112294
534	40996	112262
535	41100	112260
536	41209	112271
537	41295	112218
538	41391	112194
539	41489	112174
540	41590	112163
541	41698	112169
542	41787	112126
543	41866	112055
544	41944	111980
545	42025	111913
546	42112	111863
547	42187	111780
548	42280	111745
549	42350	111651
550	42428	111575
551	42508	111508
552	42590	111443
553	42678	111396
554	42750	111304
555	42821	111213
556	42895	111128
557	42966	111034
558	43040	110949
559	43113	110864
560	43194	110796
561	43279	110739
562	43362	110677
563	43430	110579
564	43513	110515
565	43584	110424
566	43663	110351
567	43748	110295
568	43830	110231
569	43922	110190
570	43991	110095
571	44073	110030
572	44150	109952
573	44232	109886
574	44294	109773
575	44374	109702
576	44441	109600
577	44522	109535
578	44596	109449
579	44647	109309
580	44732	109250
581	44825	109214
582	44900	109132
583	44982	109066
584	45061	108994
585	45143	108931
586	45226	108866
587	45300	108782
588	45379	108711
589	45442	108600
590	45524	108534
591	45601	108456
592	45686	108399
593	45765	108328
594	45852	108272
595	45932	108204
596	46012	108133
597	46086	108048
598	46159	107963
599	46231	107872
600	46303	107785
601	46377	107701
602	46466	107650
603	46537	107561
604	46598	107445
605	46693	107411
606	46773	107340
607	46851	107266
608	46915	107157
609	47002	107104
610	47069	107004
611	47149	106933
612	47235	106875
613	47312	106799
614	47393	106732
615	47462	106635
616	47546	106575
617	47629	106511
618	47705	106430
619	47781	106352
620	47864	106289
621	47943	106215
622	48015	106127
623	48094	106054
624	48178	105992
625	48240	105883
626	48317	105806
627	48398	105736
628	48476	105661
629	48559	105596
630	48659	105570
631	48739	105498
632	48822	105435
633	48899	105357
634	48979	105286
635	49077	105253
636	49156	105181
637	49232	105100
638	49322	105050
639	49410	104996
640	49485	104915
641	49568	104850
642	49646	104775
643	49736	104724
644	49803	104625
645	49882	104553
646	49966	104489
647	50053	104433
648	50131	104357
